Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Bermuda,...,...,Development,GDP (current US$ Mil),,           5573.71,           5537.54,           5550.77,           5744.41,           5806.38,           6109.93,           5895.05,           5414.30,           4868.14,           4484.70,           4186.53,           3937.23,           3680.48,           3480.22,           3324.43,           3130.75,           2932.83,           2695.39,           2030.75,           1867.16,           1820.36,           1679.90,           1634.90,           1592.40,           1501.50,           1415.10
Bermuda,...,...,Export,No. Of Export partners,             22.00,             19.00,             16.00,,,,,,,,,,,,,,,,,              7.00,,,,,,,
Bermuda,...,...,Export,No. Of Export products,            415.00,            386.00,            333.00,,,,,,,,,,,,,,,,,             10.00,,,,,,,
Bermuda,...,...,Import,No. Of Import partners,            162.00,            159.00,            154.00,            149.00,            138.00,            144.00,            154.00,            142.00,            143.00,            125.00,,,,,,,,            103.00,,            121.00,,,,,,,
Bermuda,...,...,Import,No. Of Import products,           3344.00,           3377.00,           3351.00,           3234.00,           3240.00,              1.00,              1.00,              1.00,              1.00,              1.00,,,,,,,,            196.00,,            196.00,,,,,,,
Bermuda,...,...,Tariff,No. Of Tariff Agreement,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,,              1.00,,,,,,,,,,,,,,,,,
Bermuda,...,...,Development,Trade Balance (current US$ Mil),,           1007.49,           1002.65,           1043.22,            970.64,            927.73,,,,,,,,,,,,,,,,,,,,,
Bermuda,Aruba,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,             20.37,,,,,,,
Bermuda,"Bahamas, The",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,              0.03,,,,,,,
Bermuda,"Bahamas, The",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,             61.61,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,Barbados,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,             16.95,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              0.14,              0.14,,,,,,,,,,,,,,,,,,              0.05,,,,,,,
Bermuda,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            124.58,            121.57,             96.13,            107.34,             77.89,             69.63,             76.52,             82.69,             71.11,             39.04,,,,,,,,             31.30,,             26.53,,,,,,,
Bermuda,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             15.92,             11.34,,              8.09,              9.32,,,,,,,,,,,,,,,,,,,,,,
Bermuda,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,              0.17,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,             14.25,             14.73,,,,,,,,,,              7.46,,,,,,,,,
Bermuda,Georgia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,              0.13,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              0.14,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,             13.69,,,,,,,,,,,,,,,,,,,,,
Bermuda,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,              8.40,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,             17.96,             15.98,,,,,,,,             19.89,,             25.61,,,,,,,
Bermuda,Switzerland,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,              0.24,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              0.67,             14.77,              0.71,,,,,,,,,,,,,,,,,              3.89,,,,,,,
Bermuda,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,             31.39,             34.09,             31.82,             27.63,             35.90,             46.69,             39.81,             36.77,             36.44,             32.25,,,,,,,,             29.09,,             31.80,,,,,,,
Bermuda,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,              9.44,              6.33,              5.33,,,,,,,,,,,,,,,,,             31.25,,,,,,,
Bermuda,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            690.01,            684.48,            601.09,            625.10,            695.28,            705.55,            815.43,            818.49,            764.49,            760.20,,,,,,,,            443.67,,            451.11,,,,,,,
