Reporter,Partner,Product categories,Indicator Type,Indicator,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Madagascar,...,...,Development,GDP (current US$ Mil),          10593.15,          10613.47,           9919.78,           9892.70,           8729.94,           8550.36,           9413.00,           7342.92,           5515.88,           5039.29,           4363.93,           5474.03,           4397.25,           4529.58,           3877.67,           3717.52,           3738.70,           3545.78,           3995.03,           3159.90,           2977.04,           3370.84,           3024.46,           2653.14,           3081.48,           2498.06,           2442.51
Madagascar,...,...,Export,No. Of Export partners,,            138.00,            127.00,            134.00,            135.00,            133.00,            139.00,            129.00,            138.00,            126.00,            122.00,            120.00,            108.00,            123.00,            121.00,             94.00,            105.00,            106.00,            103.00,            104.00,             90.00,            101.00,             93.00,             83.00,             82.00,,
Madagascar,...,...,Export,No. Of Export products,,           1921.00,           1961.00,           2030.00,           1927.00,           1820.00,           1945.00,           1838.00,           1946.00,           2028.00,           1960.00,           1859.00,           1819.00,           1810.00,           1689.00,           1297.00,           1209.00,           1193.00,           1276.00,           1270.00,           1041.00,           1079.00,           1199.00,           1322.00,           1342.00,,
Madagascar,...,...,Import,No. Of Import partners,,            159.00,            160.00,            169.00,            142.00,            139.00,            161.00,            156.00,            171.00,            150.00,            161.00,            149.00,            128.00,            151.00,            139.00,            103.00,            111.00,             98.00,            100.00,             98.00,             97.00,             94.00,             90.00,             92.00,            100.00,,
Madagascar,...,...,Import,No. Of Import products,,           3590.00,           3602.00,           3732.00,           3690.00,           3689.00,           3797.00,           3720.00,           3790.00,           3671.00,           3739.00,           3716.00,           3281.00,           3632.00,           3631.00,           3343.00,           3359.00,           3391.00,           3381.00,           3366.00,           3265.00,           3325.00,           3215.00,           3113.00,           3348.00,,
Madagascar,...,...,Tariff,No. Of Tariff Agreement,,              3.00,              9.00,              9.00,              9.00,              3.00,              9.00,              9.00,              4.00,              6.00,              1.00,              1.00,              1.00,              1.00,              1.00,,              1.00,              1.00,,              1.00,,,,,,,
Madagascar,...,...,Development,Trade Balance (current US$ Mil),,          -1371.32,          -1483.69,          -1542.35,          -1577.89,          -2501.66,          -2858.46,          -1596.61,           -884.75,           -873.83,           -647.94,           -491.99,           -288.70,           -145.56,           -284.07,           -287.89,           -290.01,           -286.99,           -220.20,           -239.42,           -225.26,           -313.42,           -250.53,           -227.62,           -352.06,            -95.48,           -166.08
Madagascar,Bahrain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            158.31,,            139.71,,            306.03,            372.58,            288.40,            220.14,            101.88,,             70.40,             54.80,             90.03,             44.04,,,,,,,,,             31.57,,
Madagascar,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            198.71,,,,,,,,,,,,,,,,,,,,,
Madagascar,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,             69.51,             72.57,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            130.44,            102.56,             91.52,             56.69,             52.27,             52.33,,,             33.99,,,,,,,,,,,,,,,,,
Madagascar,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            449.03,            379.98,            408.52,            310.76,            355.36,            810.13,            467.08,            312.54,            235.13,            278.92,            194.43,             33.28,             81.94,            117.51,             33.76,,,,,,,,,,,
Madagascar,Cote d'Ivoire,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,             49.20,,,,,,,,,,,,,,,,,,,,,,
Madagascar,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            459.63,            356.92,            529.37,            358.65,            362.57,            751.07,            591.24,            398.73,            286.61,            338.82,            419.86,            272.25,            375.05,            383.40,             88.08,            101.60,            125.60,,            102.13,            111.77,             87.17,             71.55,             78.33,             84.54,,
Madagascar,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            183.27,            160.36,            201.05,            366.16,            330.97,            343.66,            261.51,            232.84,            249.36,            210.87,            202.12,             89.42,            137.34,            129.10,            104.62,            121.47,            131.65,,            162.85,            131.50,            126.95,            117.79,            136.47,            173.93,,
Madagascar,Free Zones,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,             25.34,             19.18,             15.89,,,,,,,,,
Madagascar,Free Zones,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,             35.67,             42.63,,,,,,,,,,
Madagascar,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             99.27,             76.46,             92.99,             78.93,             69.91,            108.33,             69.08,             60.40,             53.77,             53.12,             48.07,             31.46,             32.90,             41.68,             14.91,             10.60,             13.46,,             29.91,             37.14,             32.90,             26.68,             30.47,             24.92,,
Madagascar,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,             36.26,,,             55.46,             24.87,             32.08,             24.06,             36.49,             37.03,,
Madagascar,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,             67.12,,             46.11,,,,,,,,,,,,,,,,,,,,,,
Madagascar,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            174.73,,,,,,,,             99.69,,,,,,,,,,,,,,,,,
Madagascar,"Iran, Islamic Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,             84.21,,,            103.35,             62.93,             44.61,             50.63,,             55.31,             21.97,             55.58,,             26.47,             32.60,,
Madagascar,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,             47.65,             41.99,,,,,,,,,,,,,,,,,,
Madagascar,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,             24.67,,,,,             24.99,,             22.30,             26.39,             17.89,             23.12,             25.94,             20.10,,
Madagascar,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,             34.81,,             32.73,             42.56,             41.04,             22.99,             28.62,             35.73,,
Madagascar,Mauritius,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,             32.52,             45.19,             32.01,             30.20,,,             16.04,             10.93,,,,,,,,,
Madagascar,Mauritius,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            146.53,,,,            124.78,,,,,,,,,,,,,,,,,
Madagascar,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            118.16,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,Reunion,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,             21.38,             20.77,             16.14,             13.30,,,,
Madagascar,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,             41.90,,,,
